CompanyName,TelNum,Address,Latitude,Longitude
Edsha Solutions Sdn Bhd,05-365 4388,"No. 3 Jalan Johan 1/3, Kawasan Perindustrian Pengkalan 2, 31550 Pusing, Perak",4.5119556,101.0342768
Ega Recycling Sdn Bhd,06-7998229,"Factory Lot 29 Jalan Permata 1/1, Arab Malaysian Industrial Park, 71800 Nilai, Negeri Sembilan",2.8636781,101.8131205
Embatech Sdn Bhd,04 626 5523 / 6262 453,"No. 1, Lintang Beringin 8 Diamond Valley Industrial Park 2, Off Jalan Permatang Damar Laut, 11960 Bayan Lepas, Pulau Pinang",5.28184,100.26968
ERTH,014-2211446,"G-3A, Ground Floor, Kanvas Retail & Prima 15 Jalan Teknokrat 6 63000 Cyberjaya",2.9136154,101.6552801
Esram Metals (M) Sdn Bhd,03-8725 6680,"Lot 3294, No 1-36, Jalan Perindustrian Mahkota 11a, Kawasan Perindustrian Mahkota, 43700 Beranang Selangor",2.8915504,101.8565562
Estalco Sdn Bhd,07-2552888,"Plo 616, Jalan Miel 1 Off, Jalan Keluli 9, Kawasan Perindustrian Miel 4, 81700 Pasir Gudang Johor.",1.4686602,103.9216208
Eye 1 Recycle (Miri) Sdn Bhd,019-9977328,"Lot 2511, Jalan Pujut 1B, Pujut Corner, 98000 Miri, Sarawak",4.4217705,114.0201672
Fasiliti Inovasi Kitar Semula - FIKS (Cawangan AFES),013-4642619,"No. 1, Fasiliti Inovasi Kitar Semula (FIKS), Jalan P5B, Presint 5, 62200 Putrajaya (Bersebelahan dengan IWK STP 2 (Indah Water Konsortium",2.8867169,101.6867779
Foo Sun Trading Sdn Bhd,06-7636163 / 5163,"No. 7, Jalan Bunga Raya 4, Kawasan Perindustrian Taman Tasik Jaya, 70450 Seremban, Negeri Sembilan",2.7184183,102.002855
Gabungan Penaga (M) Sdn Bhd,06-384 8211 / 012-275 3384,"Lot A-11, Kawasan Perindustrian Miel Masjid Tanah, Fasa 1, Pengkalan Balak, 78300 Masjid Tanah, Melaka",2.33494,102.07955
Gantang Tinggi Sdn Bhd Plo 15,011-2762 5772,"PLO 15, PTD 10068, Kawasan Perindustrian 11, 85000 Segamat, Johor",2.4922343,102.8651458
Gantang Tinggi Sdn Bhd Plo 44,016-3966 989,"PLO 44, PTD 10035, Kawasan Perindustrian 2, Jalan Labis, 85000 Segamat, Johor",2.4648963,102.9147835
Golden Star Industries Sdn Bhd,016-2991398,"9709-D, Jalan PBR 9, Kawasan Perindustrian Bukit Rambai Fasa 2, 75250 Melaka",2.2687931,102.1766653
Esram Metals (M) Sdn Bhd,03-8725 6680,"Lot 3294, No 1-36, Jalan Perindustrian Mahkota 11a, Kawasan Perindustrian Mahkota, 43700 Beranang Selangor",2.8915504,101.8565562
Estalco Sdn Bhd,07-2552888,"Plo 616, Jalan Miel 1 Off, Jalan Keluli 9, Kawasan Perindustrian Miel 4, 81700 Pasir Gudang Johor.",1.4686602,103.9216208
Eye 1 Recycle (Miri) Sdn Bhd,019-9977328,"Lot 2511, Jalan Pujut 1B, Pujut Corner, 98000 Miri, Sarawak",4.4217705,114.0201672
